X,Y,Z,Rotation,Data
0.0,250.0,340.0,83.15,b'5.666G'
50.0,250.0,340.0,83.15,b'9.247G'
100.0,250.0,340.0,83.15,b'14.964G'
150.0,250.0,340.0,83.15,b'25.326G'
200.0,250.0,340.0,83.15,b'42.870G'
250.0,250.0,340.0,83.15,b'60.065G'
300.0,250.0,340.0,83.15,b'66.132G'
350.0,250.0,340.0,83.15,b'63.010G'
400.0,250.0,340.0,83.15,b'49.420G'
450.0,250.0,340.0,83.15,b'30.426G'
500.0,250.0,340.0,83.15,b'17.853G'
550.0,250.0,340.0,83.15,b'10.951G'
600.0,250.0,340.0,83.15,b'6.828G'
600.0,250.0,360.0,83.15,b'.032G'
550.0,250.0,360.0,83.15,b''
500.0,250.0,360.0,83.15,b''
450.0,250.0,360.0,83.15,b'36.469G'
400.0,250.0,360.0,83.15,b''
350.0,250.0,360.0,83.15,b'82.837G'
300.0,250.0,360.0,83.15,b'86.822G'
250.0,250.0,360.0,83.15,b'79.240G'
200.0,250.0,360.0,83.15,b'54.912G'
150.0,250.0,360.0,83.15,b'30.252G'
100.0,250.0,360.0,83.15,b'17.463G'
50.0,250.0,360.0,83.15,b'10.338G'
0.0,250.0,360.0,83.15,b'6.603G'
0.0,250.0,380.0,83.15,b'6.812G'
50.0,250.0,380.0,83.15,b'10.813G'
100.0,250.0,380.0,83.15,b'18.812G'
150.0,250.0,380.0,83.15,b'34.798G'
200.0,250.0,380.0,83.15,b'66.969G'
250.0,250.0,380.0,83.15,b'99.342G'
300.0,250.0,380.0,83.15,b'108.293G'
350.0,250.0,380.0,83.15,b'104.482G'
400.0,250.0,380.0,83.15,b'79.851G'
450.0,250.0,380.0,83.15,b'43.340G'
500.0,250.0,380.0,83.15,b'22.937G'
550.0,250.0,380.0,83.15,b'13.308G'
600.0,250.0,380.0,83.15,b'8.001G'
600.0,250.0,400.0,83.15,b'8.264G'
550.0,250.0,400.0,83.15,b'13.748G'
500.0,250.0,400.0,83.15,b'24.669G'
450.0,250.0,400.0,83.15,b'48.774G'
400.0,250.0,400.0,83.15,b'92.235G'
350.0,250.0,400.0,83.15,b'121.011G'
300.0,250.0,400.0,83.15,b'125.083G'
250.0,250.0,400.0,83.15,b'115.841G'
200.0,250.0,400.0,83.15,b'77.382G'
150.0,250.0,400.0,83.15,b'39.429G'
100.0,250.0,400.0,83.15,b'20.857G'
50.0,250.0,400.0,83.15,b'12.184G'
0.0,250.0,400.0,83.15,b'7.380G'
0.0,250.0,420.0,83.15,b'7.655G'
50.0,250.0,420.0,83.15,b'12.595G'
100.0,250.0,420.0,83.15,b'22.275G'
150.0,250.0,420.0,83.15,b'42.426G'
200.0,250.0,420.0,83.15,b'83.496G'
250.0,250.0,420.0,83.15,b'123.702G'
300.0,250.0,420.0,83.15,b'133.420G'
350.0,250.0,420.0,83.15,b'129.786G'
400.0,250.0,420.0,83.15,b'100.201G'
450.0,250.0,420.0,83.15,b'53.282G'
500.0,250.0,420.0,83.15,b'27.279G'
550.0,250.0,420.0,83.15,b'15.362G'
600.0,250.0,420.0,83.15,b'9.185G'
600.0,250.0,440.0,83.15,b'9.249G'
550.0,250.0,440.0,83.15,b'15.610G'
500.0,250.0,440.0,83.15,b'28.476G'
450.0,250.0,440.0,83.15,b'55.709G'
400.0,250.0,440.0,83.15,b'102.604G'
350.0,250.0,440.0,83.15,b'131.403G'
300.0,250.0,440.0,83.15,b'.009G'
250.0,250.0,440.0,83.15,b'126.531G'
200.0,250.0,440.0,83.15,b'87.314G'
150.0,250.0,440.0,83.15,b'45.170G'
100.0,250.0,440.0,83.15,b'23.665G'
50.0,250.0,440.0,83.15,b'13.483G'
0.0,250.0,440.0,83.15,b'8.308G'
0.0,250.0,460.0,83.15,b'8.372G'
50.0,250.0,460.0,83.15,b'13.903G'
100.0,250.0,460.0,83.15,b'24.725G'
150.0,250.0,460.0,83.15,b'46.999G'
200.0,250.0,460.0,83.15,b'88.568G'
250.0,250.0,460.0,83.15,b'126.808G'
300.0,250.0,460.0,83.15,b'136.057G'
350.0,250.0,460.0,83.15,b'132.466G'
400.0,250.0,460.0,83.15,b'103.885G'
450.0,250.0,460.0,83.15,b'58.272G'
500.0,250.0,460.0,83.15,b'30.204G'
550.0,250.0,460.0,83.15,b'16.565G'
600.0,250.0,460.0,83.15,b'9.832G'
600.0,250.0,480.0,83.15,b'9.909G'
550.0,250.0,480.0,83.15,b'16.698G'
500.0,250.0,480.0,83.15,b'. 30.795G'
450.0,250.0,480.0,83.15,b'59.343G'
400.0,250.0,480.0,83.15,b'104.589G'
350.0,250.0,480.0,83.15,b'131.963G'
300.0,250.0,480.0,83.15,b'136.311G'
250.0,250.0,480.0,83.15,b'637G'
200.0,250.0,480.0,83.15,b'90.364G'
150.0,250.0,480.0,83.15,b'48.645G'
100.0,250.0,480.0,83.15,b'25.821G'
50.0,250.0,480.0,83.15,b'14.729G'
0.0,250.0,480.0,83.15,b'9.138G'
0.0,250.0,500.0,83.15,b'8.945G'
50.0,250.0,500.0,83.15,b'14.727G'
100.0,250.0,500.0,83.15,b'26.638G'
150.0,250.0,500.0,83.15,b'50.009G'
200.0,250.0,500.0,83.15,b'91.613G'
250.0,250.0,500.0,83.15,b'128.575G'
300.0,250.0,500.0,83.15,b'137.818G'
350.0,250.0,500.0,83.15,b'134.204G'
400.0,250.0,500.0,83.15,b'106.647G'
450.0,250.0,500.0,83.15,b'141G'
500.0,250.0,500.0,83.15,b'32.366G'
550.0,250.0,500.0,83.15,b'17.613G'
600.0,250.0,500.0,83.15,b'10.552G'
